allfunds_id,isin,name_last,n_obs,start_date,end_date,ann_return,ann_vol,sharpe,sortino,max_drawdown,ret_skew,ret_kurt,alpha_daily,beta_mkt,beta_smb,beta_hml,beta_wml,asia_name_flag,japan_name_flag,pacific_name_flag,ann_return_scaled,ann_vol_scaled,sharpe_scaled,sortino_scaled,max_drawdown_scaled,ret_skew_scaled,ret_kurt_scaled,beta_mkt_scaled,beta_smb_scaled,beta_hml_scaled,beta_wml_scaled,max_abs_scaled,l2_scaled,outlier_clustering_flag
3422,LU1223082519,"SCH ISF GBL GOLD ""A"" (USD) INC AV",1261,2016-06-30,2021-07-16,0.1096720107168371,0.3504215294149244,0.2663492416752509,0.3764950099478762,-0.446860301828802,0.1337614026165503,8.682387823008074,1.7824467519448984e-05,0.8531784263961946,0.8994395377728771,0.4838289707426595,0.9511666891935912,0,0,0,0.3039369472278324,2.5274516956955284,0.0212641407117297,0.0186844793646529,-1.518015782079843,0.7865616133922876,-0.3685218068177852,1.287355409394706,3.7075743007963418,3.231233028903981,7.897788806872336,7.897788806872336,9.887334144999903,1
3423,LU1223082600,"SCH ISF GBL GOLD ""C"" (USD) INC AV",1261,2016-06-30,2021-07-16,0.1190105382019162,0.3504312937803844,0.2902665151244253,0.410328244759175,-0.4371327036682444,0.1343703243140808,8.683882163600433,5.102634708336971e-05,0.853165531106336,0.8993501107335461,0.4839657153486028,0.9513723831561428,0,0,0,0.3995642864587986,2.5275599370307638,0.0235684529812704,0.0200267277869849,-1.4410939651168613,0.7868684053834901,-0.36848934714347,1.2873156896845457,3.707149706161269,3.232117001547877,7.8995746658655825,7.8995746658655825,9.880833281703676,1
3424,LU1223082196,"SCHRODER ISF GLOBAL G ""A"" (USD)",1261,2016-06-30,2021-07-16,0.1183265671612119,0.3501996715353456,0.2887118156354467,0.40882146676123,-0.4400982905982905,0.1379932149887235,8.689878350237839,4.831276116157915e-05,0.8538827915184465,0.90490183289154,0.4864748400301307,0.9562736608885376,0,0,0,0.3925603631059905,2.524992325118265,0.0234186652926563,0.0199669501629467,-1.4645445981771132,0.78869372027782,-0.3683590995503984,1.2895249750895978,3.733508975810991,3.2483370020612274,7.942128131257638,7.942128131257638,9.932991017330233,1
3425,LU1223082279,"SCHRODER ISF GLOBAL G ""C"" (USD) A",1261,2016-06-30,2021-07-16,0.1274087676971584,0.350211488365902,0.3118085752619414,0.4415161001893843,-0.4306218869780884,0.1386367027444238,8.691344641257988,8.032312433629714e-05,0.8537466539799202,0.9044361393923266,0.486417070150637,0.9564584916504412,0,0,0,0.4855628919310448,2.5251233187320232,0.0256439250701583,0.0212640274416172,-1.389609123591397,0.7890179276277739,-0.368327249161532,1.2891056480615513,3.731297888841839,3.247963554108664,7.943732853507525,7.943732853507525,9.926675820202593,1
3427,LU1223082352,"SCHRODER ISF GLOBAL G ""A1"" (USD)",1261,2016-06-30,2021-07-16,0.1126790863916806,0.3501911046895883,0.2742555492299229,0.3884554351885259,-0.4459966514058798,0.1376353052643724,8.689138855229427,2.825236712806675e-05,0.8539187260844756,0.9050455750929974,0.4864492856509713,0.9561968375998776,0,0,0,0.3347296654707141,2.5248973586990626,0.0220258747590369,0.0191589791279543,-1.511186392269994,0.7885133952254368,-0.3683751626669687,1.2896356597320575,3.734191455830781,3.2481718081806146,7.941461142498015,7.941461142498015,9.937500284808598,1
3428,LU1223083087,"SCHRODER ISF GLOBAL G ""A"" (EURHDG)",1261,2016-06-30,2021-07-16,0.0878579262420102,0.3503385191727405,0.2097204793068033,0.2963221450148848,-0.4724749256859347,0.1304049325500795,8.768375049745938,-6.223792527640574e-05,0.8529270605428917,0.9020569985058692,0.4876855463106345,0.9586500937144528,0,0,0,0.0805588119254256,2.526531498731481,0.0158082365422258,0.0155038227685476,-1.720565617650051,0.7848705287433406,-0.3666540148368554,1.2865811593431848,3.720001859542082,3.2561634989411403,7.962760598449966,7.962760598449966,9.980130578198203,1
3430,LU1223083160,"SCHRODER ISF GLOBAL G ""C"" (EURHDG)",1261,2016-06-30,2021-07-16,0.0966267145262107,0.350333884225198,0.2326473816089679,0.3287028250190253,-0.4634947526057474,0.1300295781903451,8.764054789615246,-3.0453576525450065e-05,0.8528758829726905,0.901790520298664,0.4878243462014149,0.9588243097390826,0,0,0,0.1703519718467903,2.5264801187505896,0.0180171313976409,0.0167884447354391,-1.6495541286299835,0.7846814145897532,-0.3667478583940181,1.2864235236267805,3.718736635757534,3.257060757780561,7.9642731623118,7.9642731623118,9.970254019985328,1
3435,LU1223083327,"SCH ISF GBL GOLD ""A"" (GBPHDG) INC AV",1261,2016-06-30,2021-07-16,0.089154419098175,0.3510921472001328,0.2126639377614259,0.2987765051323874,-0.4684260833792131,0.0918979445191071,8.943414049958669,-5.9701123003049095e-05,0.8540329848949003,0.895820999039652,0.4869795517267268,0.9602553375003192,0,0,0,0.0938350123076682,2.534885723518488,0.0160918243619781,0.0156011933278194,-1.6885490497687388,0.7654696179511189,-0.3628518635947412,1.2899875965154182,3.690393679091471,3.251599663354288,7.9766975123767585,7.9766975123767585,9.974338733459863,1
3436,LU1223083590,"SCH ISF GBL GOLD ""C"" (GBPHDG) INC AV",1261,2016-06-30,2021-07-16,0.097425797013906,0.3512025835493202,0.2341467297297244,0.3288394484403501,-0.4592599369354508,0.0924825129605464,8.91878570667259,-2.956851691418568e-05,0.8542398567712228,0.8952940268741231,0.4858750192438957,0.959118284130891,0,0,0,0.178534646497206,2.5361099482715934,0.0181615862527612,0.0167938649257564,-1.6160669604219733,0.7657641400824056,-0.3633868340064927,1.2906247974669252,3.687891644404978,3.244459517003481,7.966825482296706,7.966825482296706,9.952765458319838,1
3439,LU1223083673,"SCHRODER ISF GLOBAL G ""A"" (CHFHDG)",1261,2016-06-30,2021-07-16,0.0836633127251693,0.3502697288714411,0.1987285656792874,0.280922902265906,-0.4764784008206902,0.1322935097877884,8.732696126135089,-7.715038337100445e-05,0.8529628798389358,0.9029970898493672,0.4873310185919479,0.9577604168559436,0,0,0,0.037605602186669,2.525768934682197,0.0147492194476794,0.0148928965771797,-1.7522234407270951,0.7858220474257039,-0.3674290230553634,1.2866914889342698,3.724465361229204,3.2538716878480414,7.955036320113635,7.955036320113635,9.980063658313993,1
