allfunds_id,isin,name_last,cluster_kmeans,cluster_hac,cluster_candidato_asia,PC1,PC2,ann_return,ann_vol,sharpe,sortino,max_drawdown,beta_mkt,beta_smb,beta_hml,beta_wml
8,LU0200077294,"JANUS HENDERSON GLOBA ""A2"" (GBP)",1,2,1,0.6228767188893571,-3.3466759715911274,0.1857817740563578,0.1708031255181571,0.940188771172851,1.2056752371797848,-0.2247995702946267,0.2699120856597994,-0.3286694025804091,-0.2730297732175204,0.2184699176275802
9,LU0200076999,"JANUS HENDERSON GLOBA ""A2"" (USD) J",1,2,1,1.3962467136092462,-2.0388767481919743,0.1729763009368656,0.1655185027135011,0.9045644527121204,1.0404572379019557,-0.3104823336020951,0.5871859378868923,-0.0632296045174853,-0.2582371480942746,0.1806820932426898
12,LU0200083342,"JANUS HENDERSON ABSOL ""A2"" (GBP)",2,0,0,-2.062669528434335,-0.45607102138083533,0.0192574739014901,0.0296055999940706,0.310591974182226,0.402465645085238,-0.0453101704803263,0.0831001421214871,0.014185593505495,-0.0053592647560487,0.0112320292424781
19,LU0195948822,"FRANKLIN BIOTECHNOLOGY DISCOVERY ""I""",1,2,1,1.4345476415343068,-3.113534146678699,0.0941066023187409,0.265020248544942,0.3021636065511678,0.4268028101523053,-0.2915713196033568,0.3866400110101282,-0.0722325813974217,-0.5009425227852258,0.1893818712990283
20,LU0195949390,"TEMPLETON EUROPEAN OP ""I"" (EUR)",0,1,1,1.0043980088610103,-0.28434640195180455,0.0168170501426589,0.1691071082063907,0.0402291897280858,0.044665196974732,-0.4237288135593214,0.6582396531114942,-0.0342790896350106,-0.1176974931677188,0.005560705917945
22,LU0229949309,"FRANKLIN GLOBAL REAL ESTATE ""I"" ACC",1,1,1,1.4115173218864967,-0.531290678537507,0.0799023314954703,0.1766979812920528,0.3792211389829834,0.3891720465905501,-0.4190647482014388,0.6995376570580673,0.0651346937066688,-0.1310720644703796,0.1190248545712311
24,LU0195952261,"FRANKLIN EURO HIGH YIELD ""I"" (EUR) ACC",2,0,0,-1.6240623161928467,0.5474475539762322,0.0411580274123775,0.0409690492316603,0.743539110567133,0.572351319328816,-0.1831485587583149,0.2357596114526354,0.1550008365747554,0.0363858282554193,-0.0085921309838663
25,LU0229041164,"FRANKLIN EURO HIGH YIELD ""I"" (EUR) INC",2,0,0,-1.904609734078368,0.6043291479934345,-0.0039245155633241,0.0588038546962215,-0.2347962591113741,-0.13978127494417,-0.2166998011928388,0.225419284408346,0.1192888184109581,0.0175168286006918,-0.0121116286192412
26,LU0195951883,"FRANKLIN INCOME ""I""",2,2,0,-0.2729084489837846,-0.6170063240582667,0.0811245001607778,0.099380420660063,0.6856386495417875,0.7286957614441615,-0.2351443123938871,0.3846249765440867,0.0398417118397298,-0.1375241171764593,0.0116208102102378
27,LU0231204701,"FRANKLIN INDIA ""I"" (USD)",0,1,1,2.4622753469463876,0.37216697590879333,0.1305352670619497,0.2016874928491023,0.5595109528814637,0.6331717387519517,-0.4777913610431951,0.8597016981144,0.1822905029947932,0.1215580857608189,0.2244287734379252
28,LU0231205427,"FRANKLIN INDIA ""I"" (EUR)",0,1,1,1.8748356073291501,-0.40095946866709575,0.1129345222761712,0.2069125257374759,0.4695135819469661,0.5464960485278708,-0.4309936908517351,0.6831496857890051,-0.0357759904076882,0.1289942125251956,0.234599111092765
29,LU0211332308,"FRANKLIN MUTUAL GLB D ""I"" (USD)",1,2,1,1.526873918664015,-1.0667100009708812,0.0933544054037249,0.1849589138086369,0.4292385413548256,0.4599323501788456,-0.4151877837391665,0.7122179121665898,-0.0583627855994546,-0.2198718614844012,0.0589669691429479
30,LU0211333454,"FRANKLIN MUTUAL GLB D ""I"" (EUR)",1,2,1,1.0757986186973045,-1.8131677743650574,0.0764789935347469,0.1910429895338085,0.3341215603942029,0.3702316800041458,-0.3958412098298673,0.5375783023068411,-0.2766757068305512,-0.2084139291110954,0.0710836522503656
32,LU0231791483,"FRANKLIN JAPAN ""I"" ACC",1,2,1,0.46536291939889174,-1.450522817179322,0.0511889678888517,0.1719162131696309,0.2331903115364487,0.2941175528228349,-0.3380503144654075,0.3914952144668004,-0.2370470000914646,-0.1398790219364811,0.0386606887719494
33,LU0231791996,"FRANKLIN JAPAN ""I"" (USD) ACC",1,1,1,1.1180247670628394,-0.6789033866606886,0.0688137240819506,0.1696950840108498,0.3342496869738399,0.4201867273136182,-0.3939393939393942,0.5700871184254872,-0.0177680870481489,-0.1508537860176185,0.0279898475673484
34,LU0181995647,"FRANKLIN SELECT US EQ ""I"" (USD)",1,2,1,1.5796265994939096,-3.0042965168162614,0.1549538011939562,0.2030184318502041,0.6545178278755528,0.7542291385736307,-0.3187029151654112,0.5333830198619659,-0.1410244642809413,-0.4257880972757391,0.2015674852388387
35,LU0195950216,"FRANKLIN SELECT US EQ ""I"" (EUR)",1,2,1,1.212601100717994,-3.8909450190323636,0.1362070702232407,0.2158822172041235,0.5396720392998141,0.656429653463312,-0.3133587786259542,0.3596016600725812,-0.3859023139622263,-0.4355004943770307,0.2128360709162466
37,LU0195953400,"FRANKLIN US LOW DURATION ""I"" ACC",2,0,0,-2.2815960563251627,0.14559364890782314,0.0234329814242875,0.0297965850090063,0.4459903577051929,0.2626901851387086,-0.139784946236559,0.0879114883482712,0.1032636421155765,0.0017173975795185,-0.0011568131298442
39,LU0229951032,"TEMPLETON ASIAN BOND ""I""",2,0,0,-1.9470185253915437,-0.03401021878612333,0.0134791402780369,0.0515259368174006,0.0682130523833379,0.0941018284307554,-0.0656073808303437,0.0785558356564312,0.0322630078103578,0.0549644179237404,-0.0265354267953107
40,LU0195950992,"TEMPLETON ASIAN GROWTH ""I"" (EUR)",1,1,1,1.3813030741942365,-1.4959308227466226,0.1334148435648332,0.1827360101182849,0.6314653900544678,0.8035067535957805,-0.2903896103896103,0.6960518559894309,-0.2849502564599814,0.1463320632611236,0.3027919809129733
46,LU0211333025,"FRANKLIN MUTUAL GLB DISCOVERY ""A""",1,2,1,1.0430693894153171,-1.7919496235184336,0.0673345483312355,0.1909381615706465,0.2896129869304613,0.3218864136889622,-0.3964852121731674,0.5369133655377745,-0.275804161021119,-0.2096940337019246,0.0693928614587414
47,LU0195951024,"TEMPLETON CHINA ""I""",1,1,1,1.7991210137186355,-1.7140522543149548,0.1786403009611847,0.1933787657318992,0.7991589941334494,1.0390009460155627,-0.2377771029456427,0.8257537238825488,-0.1623424190365794,0.0586273381248926,0.3490147462456697
48,LU0195951297,"TEMPLETON EASTERN EUROPE ""I""",1,2,1,1.733960612716686,-1.4401680529721552,0.1258056786521788,0.1984274358458245,0.5475658345837868,0.5895555017872783,-0.4699331848552336,0.5908240442971169,-0.1750278210454894,-0.1498997539582298,0.1147788870658002
49,LU0195951966,"TEMPLETON EMERGING MKTS BOND ""I"" (USD)",2,0,0,-1.1872540052243843,0.26225813325906944,0.0210989374574726,0.0703348481965919,0.1564741117597968,0.192827531320354,-0.1774305555555574,0.1984591275043943,0.1246480771649353,0.0021663629393646,-0.0384175492464154
50,LU0195951610,"TEMPLETON EMERGING MARKETS ""I""",1,1,1,2.0384756728382523,-1.4160961360649718,0.1715645303526678,0.1834742297370359,0.8094602587888967,0.9395607637182216,-0.3584262701363085,0.8427496412429586,-0.1298396752360928,-0.0356004471133048,0.2474986457265237
51,LU0195953582,"FRANKLIN EURO GOVERNMENT BOND ""I"" ACC",2,0,0,-2.0539335392930806,-0.5093616531194363,0.0188659089097926,0.0337086601948908,0.261538983808563,0.3309641573810648,-0.0609402205455588,0.0256355640929322,0.0388291670780718,-0.0280458730105939,0.0150093197536878
52,LU0195950489,"TEMPLETON EUROLAND ""I""",1,2,1,1.0021626094817684,-1.01749524723734,0.05460052854325,0.1813327673443649,0.2387485657824815,0.260713674800844,-0.3846476510067114,0.6326217940566038,-0.1333818755453525,-0.1874232137568658,0.0206561717600499
54,LU0195952774,"FRANKLIN EUROPEAN TOTAL RETURN ""I"" ACC",2,0,0,-1.9706655869905922,-0.2982182744755908,0.0272423186216388,0.0333497317316867,0.509886124346553,0.5433771870866548,-0.088819875776398,0.0866905700931241,0.0670939033521331,-0.029705038234668,0.0074275700830803
55,LU0195953749,"TEMPLETON GLOBAL CLIMATE CHANGE ""I""",1,2,1,0.6634182744506683,-1.8341360688400656,0.1116648464359333,0.166609573867647,0.5762350228149672,0.6700110215496352,-0.3027305104867432,0.4925932969326434,-0.2689345214650758,-0.1676453529343188,0.0744346096456119
56,LU0195952857,"TEMPLETON GLOBAL BOND ""I"" (EUR) A",2,0,0,-1.9007176009074829,-0.24302134699376152,-0.0204792173190879,0.0318827349009095,-0.9586910875841078,-1.145836884653252,-0.1530612244897944,0.0573788384760039,0.0074499252506261,0.0034292073099695,0.0094545915561572
57,LU0181997262,"TEMPLETON GLOBAL BOND ""I"" (USD)",2,0,0,-1.731156889077461,-0.18197681429651197,0.012180352895929,0.0683278514286854,0.0326710263686459,0.0439114109227294,-0.0963718820861674,0.0929513859057965,0.0134178301525806,-0.0125943495280918,-0.0634451832800267
58,LU0195953079,"TEMPLETON GLOBAL BOND ""I"" (EUR)",2,0,0,-1.5990921848842736,-0.8640982650600734,-0.0010444599626711,0.1087788472308147,-0.1003846152395118,-0.1514267595463563,-0.1725738396624462,-0.0812564649817111,-0.2016492731337364,-0.0032343972634676,-0.0515469038702534
60,LU0211327647,"TEMPLETON GLOBAL INCOME ""I""",2,2,0,-0.02858637565080341,-0.42299976244500065,0.0469548732171962,0.1093665825906679,0.3293079825905747,0.3698392463318686,-0.285172704296546,0.4591108562699532,-0.0176492392019187,-0.0760535604276615,0.0170982530179474
61,LU0195950729,"TEMPLETON GLOBAL SMALLER COMPANIES ""I""",1,2,1,1.7426194097177499,-0.9121463343073857,0.1335059675285863,0.1676035064111463,0.6889587386227985,0.7536135055039663,-0.4298440979955468,0.7088259505326219,0.0368861839291553,-0.2047045625863001,0.0908267550513124
62,LU0195953152,"TEMPLETON GLB TOTAL R ""I"" (USD)",2,0,0,-1.5557670379442736,-0.06965110798377765,0.0080443772233556,0.071151018901565,-0.0261752825712232,-0.0359073785518689,-0.130306988896146,0.1113106862844644,0.0335815226077758,-0.0062256857550262,-0.0569894224924893
63,LU0211333702,"TEMPLETON GROWTH EURO ""I"" D",1,2,1,0.16010575809770752,-1.2525614046943445,0.0427127340119011,0.1516110336301984,0.2107661072813057,0.2502347194408784,-0.2899135446685892,0.465580702457775,-0.2377497587210109,-0.133976803583849,0.003459797768716
64,LU0234924669,"TEMPLETON GROWTH EURO ""I"" (USD) D",1,1,1,0.9094527828256908,-0.45364498116265906,0.0605732788229029,0.1505359504497441,0.3251165886382045,0.3758850108990476,-0.375519630484989,0.6403214677197675,-0.0223778006649232,-0.1412527728111648,-0.004573683694147
65,LU0229944334,"TEMPLETON LATIN AMERICA ""I""",1,1,1,3.3303302360831233,-0.9907718147565145,0.1429100788456303,0.2817140298866898,0.4392340719905713,0.5346719368392783,-0.520910973084886,0.9428319322877446,0.1308157062486152,-0.3094220743307163,0.110745326376753
90,LU0171310443,"BGF WORLD TECHNOLOGY ""A2"" (EUR)",1,2,1,2.6764517303948567,-1.2483306722054675,0.3312445170057272,0.2179218384000461,1.2685298315569176,1.6132157405924124,-0.3028391167192433,0.7808565478029809,0.2148529298527848,-0.2102144736163793,0.1691165443693976
91,LU0006344922,"UBS (LUX) MONEY MARKET FUND ""P"" (EUR)ACC",2,0,0,-2.5384307986233425,-0.51518546033945,-0.0045930139590488,0.0003293757983808,-43.92903639925988,-60.71478534044646,-0.0250433120258061,0.0014810558992365,0.0023704999544263,0.0008428385064039,-0.0003350911898694
