allfunds_id,isin,name_last,n_obs,start_date,end_date,ann_return,ann_vol,sharpe,sortino,max_drawdown,ret_skew,ret_kurt,alpha_daily,beta_mkt,beta_smb,beta_hml,beta_wml,asia_name_flag,japan_name_flag,pacific_name_flag,beta_rank,sharpe_rank,drawdown_quality,asia_thesis_score,asia_aligned_flag
166659,LU2087589771,"BGF EMERGING MARKETS ""D2"" (EURHDG) A",312,2020-04-15,2021-07-16,0.390489952348418,0.16659227867704404,1.9801150858814154,2.880203723263178,-0.086824067022086,-0.15862084166715507,1.605469240250657,-0.00014471613570194475,1.0506442673176792,0.3695364723402391,0.3085816928188753,0.11334619377804106,0,0,0,0.9744439382015491,0.993828438884977,0.9000124259619765,0.9681253365364701,1
293551,IE00BYSXR079,"MERIAN CHINA EQUITY ""A"" (EUR)",417,2016-04-01,2017-12-06,0.22626924638835977,0.16660832045783924,1.224782778915947,1.8775828590006414,-0.09551098376313272,0.124720943567139,1.6150118660270305,1.3472749651168331e-05,0.9751248943075128,0.08240305458959146,0.7044920040791177,-0.029414241779824483,0,0,0,0.9461541647682558,0.9737398003562109,0.8765273578262851,0.9426065526239489,1
145810,LU1987882872,"DWS INVEST BRAZILIAN ""FC"" (EUR)",303,2020-04-14,2021-07-15,0.7074287070966219,0.36452435064214567,1.4691936008800006,1.9268496409421694,-0.17807304038004745,-0.3452452764417337,2.6487332212446093,0.00038173725363810666,1.093331599312735,0.7749377744421218,0.012740877517382317,-0.5026497288343664,0,0,0,0.983017851965373,0.986994159797871,0.6821024727664333,0.9388746220436566,1
103181,LU1937674437,"EASTSPRING INV GLOBAL ""RE"" (EUR)",307,2020-04-14,2021-07-15,0.41124998185584105,0.16793092816997846,2.0526973699031426,2.9971071013169794,-0.07486631016042744,-0.13254472621494118,2.0168209245892745,0.00018226178129059114,0.9061960574167456,0.19131290969260603,0.3230448239695791,0.011661103436701376,0,0,0,0.9104088141490287,0.9943668972372944,0.9220892184069917,0.9331503955597896,1
66862,LU0357529600,"LO FUNDS EME RES EQUITY EH ""R"" (USD)",612,2016-01-06,2018-06-13,0.13189828455031916,0.12553630314393313,0.957656849671638,1.343380757238475,-0.1117086193745237,-0.22184387110252546,1.9684656993814782,-5.49909544089658e-06,1.0019304231446098,0.30884111182400753,0.38378314823898146,-0.043097852567680985,0,0,0,0.9588700658575985,0.9128940065443399,0.8349832249513317,0.9287930248933438,1
153400,LU1983261865,"JANUS HENDERSON GLOBA ""H2"" (USD)",269,2020-06-18,2021-07-16,0.5472211594426108,0.1710914884981444,2.553246310053918,3.7051790301510055,-0.07578253706754523,-0.27975703876723285,0.7245402480310155,0.00048706666576180335,0.8644890115429028,0.4715379158347704,-0.07515329139769537,0.03179538845925731,0,0,0,0.8831545375471151,0.9974319678581783,0.9205981029698049,0.9173404299382844,1
157661,IE00BGDW0265,NEW CAPITAL ASIA FUTU (GBPHDG),310,2020-04-07,2021-07-15,0.7556590082184891,0.18407806415894198,3.06105629375232,4.610429543422791,-0.13450490030415674,-0.28114093856329825,0.3989856048382667,0.0007886917909430973,0.90358332327035,0.19911158872189516,0.2043702275288529,0.5009399486390896,1,0,0,0.9079650416269727,0.9987159839290892,0.7806817711137803,0.9115602866255229,1
245901,LU2107592128,"LO FUNDS CLIMATE TRAN ""P"" (EURHDG) A",276,2020-03-16,2021-07-15,0.7104558401479886,0.3119942777934978,1.7219567708720729,4.879132245932984,-0.06881264324564706,11.379700715368806,165.90212631361288,0.001298936094113663,0.8454649990345376,0.3841714455365438,0.4936568637444768,-0.059689025488288416,0,0,0,0.8672907260903782,0.9908047881373483,0.9337282027916994,0.908134863107319,1
166657,LU2087589425,"BGF EMERGING MARKETS ""D2"" (EUR) A",312,2020-04-15,2021-07-16,0.32911102185096963,0.15883411125599373,1.7922534379763937,2.5568276528295377,-0.07634810464495478,-0.21021114656536818,1.7112065571749628,1.0468071518274183e-05,0.8471610372255527,0.1659476957001783,0.23271823434695707,0.09119505989374223,0,0,0,0.8684919024147786,0.9918817048419832,0.9199768048709771,0.9070620883900096,1
8367,IE00BYQG5606,"BAILLIE GIFFORD WORLD ""B"" (USD) A",1179,2016-08-11,2021-07-16,0.3959819159521447,0.2355318545375011,1.368657621559786,1.755205064907933,-0.29177460708207625,-0.13594847146160496,5.857247554074647,0.0008860446348957158,1.083711627904002,0.8660923612325164,-0.11653225043919367,0.2595747747706699,0,0,0,0.9820237750072485,0.9832249513316489,0.440127573209626,0.9010396388187052,1
92194,LU1876476653,"GOLDMAN SACHS EMERGIN ""R"" (USD)",268,2020-06-02,2021-07-15,0.5879068772061558,0.1868777664976954,2.476705774998264,3.748993326018917,-0.13667425968109326,-0.12774596923827722,0.7166655285854429,0.0004260155743315875,0.8725184091129711,0.21018237942963666,0.04371719215159466,0.38015067749545417,0,0,0,0.8885391210702895,0.9971834486186473,0.775959905562689,0.8988133206312389,1
92193,LU1876476570,"GOLDMAN SACHS EM EQ ESG PTF ""R"" (USD) D",268,2020-06-02,2021-07-15,0.5875593934641798,0.18677965437904964,2.476832864449861,3.7677921701099564,-0.13652073732718895,-0.11625840629984185,0.7065525411415794,0.0004290107075187863,0.8687818316875802,0.20600985312676395,0.04481181037188576,0.3831478113066163,0,0,0,0.8860539286749782,0.9972248684919024,0.7767054632812823,0.8974443938201548,1
41926,LU1687412608,"GS MULTI-MANAGER DYNA ""R"" (EURHDG)",272,2020-06-02,2021-07-15,0.4946950689971674,0.17761545487762342,2.2646841647248626,3.214252606214761,-0.0860215053763439,0.09251815647410595,2.7438820392423064,0.0005336223367323514,0.8147806436753433,0.3406192503616059,-0.10695321267151663,-0.06616866848168156,0,0,0,0.8472020875616121,0.9956509133082053,0.9022490991177567,0.8925713457316822,1
156341,LU2027374805,"GLOBAL ENDURANCE ""Z"" (USD) A",314,2020-04-14,2021-07-15,1.7232723025795544,0.3468611466144219,2.894034899284338,4.220959250070398,-0.18869318881635688,0.5820888074012686,7.134739572782999,0.002301089104055861,0.898902336285255,0.6759481257308493,-0.21028043975623736,0.20088950247436477,0,0,0,0.9049413908793439,0.9983017851965373,0.6612268566458187,0.8917243093236135,1
156342,LU2027374987,"GLOBAL ENDURANCE ""I"" (USD) A",314,2020-04-14,2021-07-15,1.7216036526320408,0.3466780363074609,2.8937884513773984,4.223667932838043,-0.18868622134582258,0.5826186038454314,7.129591945488938,0.0023008941027782242,0.8965647372785497,0.6756566298733733,-0.21407748793086112,0.20013339825855445,0,0,0,0.9029532369630949,0.9982603653232821,0.6612682765190738,0.8905272749865385,1
