allfunds_id,ann_return,ann_vol,sharpe,sortino,max_drawdown,ret_skew,ret_kurt,beta_mkt,beta_smb,beta_hml,beta_wml
90,2.5728588149417324,1.058647242154264,0.11781933687433968,0.06774826114109891,-0.37915590557830475,0.4931362002615,-0.47486840426503957,1.0645915872958251,0.4571949620589607,-1.2553455403747014,1.1079381618716175
541,0.47888350345943814,1.0445078064185707,0.04431038813804423,0.026596907439205474,-1.6571743631941342,-0.03184785081788619,-0.08863845009041346,1.7866700284781853,1.5486882485621345,2.3745421002133744,0.7875521698869672
909,-1.0480077020661018,-0.486952501723184,-0.04503512246001958,-0.013554289934456986,-0.6970882686245553,-0.10008865727712186,-0.07223967454395436,-0.36017016283960535,0.4585360157056628,0.3122647272131031,-0.09374946497922527
915,-1.2474948976139064,-0.306105537490207,-0.0584935970715867,-0.0239289032613002,-0.935344379565367,0.23265433204502056,-0.4093379708481565,-0.010515151475211712,0.99088394245989,0.6930042781130487,-0.29470462573261746
922,-1.416033831372631,-0.3043895560871456,-0.07598051038256527,-0.03234497741438104,-1.1975772369395543,0.18848870654111707,-0.40171738222807607,-0.005158542007229779,1.0220171680921282,0.7158805073487384,-0.2596380471889783
1625,-0.7988833166116245,-1.1265991704284652,-0.04441256416231289,-0.008213222850693449,1.4653407623780677,-0.8684896069529446,1.5761541022212688,-1.1823791669074222,-0.1465421829268383,0.3005369433991064,-0.2668260095902452
1626,-0.7869279097393033,-1.1255559642989201,-0.03886050428672642,-0.006879991845439233,1.489445019568227,-0.5022335829085085,1.37993197613928,-1.1893290009906567,-0.14164499907547998,0.2945444887110744,-0.2619251075079476
1905,-0.15337324173325187,1.1127140721236226,0.01823787884008176,0.015779658853770175,-2.246189063103714,0.3956072532420994,-0.3316526192306104,2.4046772151248064,1.8214963582129293,1.944294241283318,0.28983866490059823
3395,-0.7257403663527411,-0.7170676073434394,-0.007177348725984938,0.0027376599427579216,0.22178911465856618,0.053106406510980475,-0.15685486624753012,-0.466834404589979,0.4526851893119186,0.48117695891741996,-0.4535895137783218
6214,-0.4055455631374196,-1.007004908258776,0.0831266616806371,0.039114820515706715,1.089214839070995,0.4336204297172331,0.3271551675252222,-0.9949819311122955,0.029518745200245097,0.25585373344069406,-0.4888443797939752
6215,-0.6673395717376456,-1.0036423488310005,0.0071054371687325705,0.00848242707435993,1.0373123541604754,0.33493845522546684,0.4051582923225733,-1.0067425252077964,-0.0046072735426034555,0.2100906974655388,-0.5011683268626862
6216,-0.5433134011868507,-1.0011417495871877,0.04262605769649907,0.022268054338394665,1.0341825107430467,0.17637059810253955,0.4502240091625289,-1.002307624862786,0.01224806610097528,0.21838558141462117,-0.4845087444791128
6217,-0.3647159701324346,-1.0045098982812035,0.09406961044343165,0.04364744539802244,1.088382776454153,0.4602500064304047,0.3477526629064579,-1.0097972683285157,-0.005590201379532968,0.21521854462169934,-0.4894753847672712
6218,-0.6247657384755703,-1.00477846551719,0.019537369192227646,0.01340155490214413,1.050874156872023,0.25840697747550273,0.4078505655499337,-1.005514981020235,0.007071666870734028,0.24684459957334448,-0.4686454295194879
6219,-0.5044526709115761,-1.000323791213415,0.053561745083297425,0.026526867702416374,1.0393252307769405,0.2090580359408995,0.49195797020074183,-1.0041380014957144,0.02191982155569361,0.21344496039810673,-0.5000630075170863
6220,-0.48613862140182645,-0.9998098763370203,0.058661390262641146,0.02836504850834579,1.0453144648810906,0.07285020770943598,0.4293269569516005,-0.9949105791704242,0.06203297150138271,0.23185585556913338,-0.506237070336298
6221,-0.6054769686479509,-1.0054318403446256,0.025164833933098645,0.0158857630837761,1.0561941728622,0.3416290762166123,0.36743494859027953,-1.0014124294175963,0.008053107599336149,0.21979413219741134,-0.4914307343156025
6343,0.30084720223604566,0.7041126888853357,0.044297429715762414,0.028537498066838515,-1.0666249120191293,0.5319085535641441,-0.36563589990299444,1.5520398854740725,1.3524376693543325,0.3202804372667855,-1.8938477591376637
6344,0.42399489285466474,0.6929920455751092,0.05018107991511963,0.033482425601753255,-0.49255777864137823,0.5950957753365178,-0.43222768091157243,0.6330800824650988,0.2696490476995049,0.09592310007393018,-1.6942615235695104
6345,0.12126758382882727,0.7705152422643055,0.034772352188676116,0.023813207802393953,-0.9918480370639666,0.4861566148301215,-0.40075892447550654,1.1493035411063945,0.6014555699680082,0.23358978259380292,-2.1076187321354474
6346,-0.5516710643037044,-0.5937537251210603,0.01791481063096671,0.012430572895772443,0.09210357652669363,1.3293288800782765,0.6364915769156441,-0.6511861904913537,0.6774963020564002,0.47827793384598993,-0.9892382687480459
6353,-0.546811663913946,-0.5822944036205547,0.018222220166185583,0.01282097341536428,0.08817886219807936,1.3223986896285373,0.5442162651244415,-0.6681187666605172,0.5610973046267873,0.4992011984462395,-0.882856887080003
6362,0.8059524667032548,0.6407385014065418,0.06911144692377683,0.04414299542186941,0.22751349507024093,0.5071405465514033,-0.5019257434024011,1.0354363199871688,-0.9021093820522225,2.0894145092530296,1.6068586069260522
6366,-0.008813991540961115,-0.32092260790027194,0.0639720664585772,0.038151613081433174,0.2820606913170294,0.4838530240137392,-0.3557733779526599,0.32889743482881956,0.7526366033536288,0.1299125932315095,-0.22227883673609777
6369,-0.030189051324250288,-0.3178277057427567,0.06177079931268157,0.03676097420663857,0.24484573011905408,0.45061008565513655,-0.3567567965490637,0.336724938174274,0.7563224480342833,0.1404129507151158,-0.21150558191541532
6370,-0.12161336517923946,-0.31949807067632746,0.053314175123407234,0.03275834507515006,0.14927705745578604,0.46740453828514267,-0.3559346395501913,0.3253423328872025,0.739251298721332,0.1248394926336495,-0.21942499274065164
6376,0.5594436851999957,1.8562535053349585,0.034322535008793655,0.02378127484407827,-1.8516529710168717,0.2885185220838658,-0.3795667539406859,1.9028786054747349,1.3540270577550229,0.6558433943764922,-1.350260963738458
6395,-0.7409399823342527,-0.5862279280322711,-0.007488487699786976,0.0025391169560075293,-0.22561702601462863,1.6025985377405596,0.7716316112035249,-0.45233322657934955,1.2960981630838804,0.770395154856158,-1.1019534071831194
6396,-0.5173655982184607,-0.590551528524287,0.02236359253743108,0.014471595958933976,0.11813506675848605,1.806819234978754,0.8478918839702785,-0.4415763514741323,1.3052020479911663,0.7498797346844364,-1.138441938474199
6405,-0.740279037970075,-0.5851474899160982,-0.007405363299138242,0.0025802834030388753,-0.24171172917995903,1.339280994399164,0.5463777586424714,-0.4579268273738014,1.1618309635562618,0.8037069312669121,-1.0853710815848097
6406,-0.5161853657239802,-0.5857743696104462,0.022352881261799698,0.014711666595051688,0.12233945146254335,1.5492577839887327,0.6224239147211056,-0.45915546659777495,1.150237878960424,0.8100107732262566,-1.111895446609194
6420,-0.9205270660290936,-1.0281528728708578,-0.06864977869663753,-0.03467657329905411,1.1574449543732162,1.1237499145330045,-0.19790056512498538,-1.347261000326554,-0.7245673691070886,0.11495496790411734,0.02268635583282844
6427,-0.9199156572834071,-1.010201578872161,-0.06513910059489131,-0.032651802956323944,1.1574449543732153,1.0812372427872055,-0.23907290888283772,-1.3556626864622425,-0.8221320604575698,0.12372700016065828,0.04513845546373547
6434,0.6771793137168333,0.9778974671131933,0.05349537558474214,0.034551796917065114,-1.367826225450891,0.2501021536629171,-0.3460572740079067,0.9863832430709497,-0.03625425689513811,0.41461528837527367,-0.35768069610768394
6436,0.15677695478501041,0.7610415154595864,0.036556798792088493,0.025498603012876837,-1.1733279863502215,0.5677459552928152,-0.42103026504647234,1.1005880950174864,0.20583348031317408,-0.1391767704698816,-0.3990084193102454
6437,0.2151690867668856,0.7610220480999988,0.039176444216144815,0.026882908384189226,-1.1226643942080745,0.5697117581379049,-0.42105102743129463,1.1007553719936716,0.20906493513201424,-0.1337906732727642,-0.40185555252134936
6442,0.49511632158881785,0.6669711438609073,0.0541448743019071,0.039152740756551584,-0.3805424669860103,0.7237911712308674,-0.48556092265172646,0.13161740686411627,0.11693082355320474,-0.30049566077867906,0.3757210250027262
6445,0.10048259157424577,0.7752217775239005,0.03376328709311105,0.0238440587443198,-1.2375056838984781,0.547032309168787,-0.41531491891756067,1.1287826263258929,0.23110094460110306,-0.11787052326790799,-0.3985287766131824
6454,0.20019849256828867,0.5929714236464664,0.041372092028117646,0.02618058930063203,-1.1344712131466277,0.24451863004485141,-0.2777547441317029,1.0477679360331336,0.4443959121963537,-0.013535036515473175,1.1233965569079436
6457,0.1399544002420283,0.43816109368707895,0.04302188246068323,0.027779299249551408,-0.6042564582219504,0.3781849851001264,-0.36681014883360535,0.6187717809200566,-0.04243134106274118,-0.42577000244543545,1.0341145039857507
6460,-0.5500718894254953,-1.0408898547016454,0.04998017097140869,0.031085776174287705,1.5079655378786705,0.12694227422453752,-0.276054490798151,-1.3250155838711606,-0.30388401228315565,0.12828275986482796,-0.042742288598982624
6465,-0.550422418699448,-1.039827598923074,0.04968580820179988,0.030949305055453808,1.5120782288264818,0.13509544236382276,-0.2779752069874973,-1.325527409091071,-0.31851978229331024,0.12795012819095697,-0.04041117359904608
6472,2.03686699938276,1.557628420128259,0.08218045232544595,0.05744347037372737,-0.7892680445465798,0.8170012347848167,-0.46048970466137756,1.8165701704644939,0.8544743859054394,2.910533624633522,3.4383927545316486
6478,-0.4117997095981528,0.6529540287284997,0.011103171693166458,0.011278673209734415,-1.2203628513115903,0.3090192994187634,-0.3073428307773297,1.1847736561988917,-0.010666100524418558,0.051856806132084,-0.7590121078009636
