allfunds_id,isin,name_last,n_obs,start_date,end_date,ann_return,ann_vol,sharpe,sortino,max_drawdown,ret_skew,ret_kurt,alpha_daily,beta_mkt,beta_smb,beta_hml,beta_wml,asia_name_flag,japan_name_flag,pacific_name_flag
90,LU0171310443,"BGF WORLD TECHNOLOGY ""A2"" (EUR)",1386,2016-01-06,2021-07-16,0.3312445170057272,0.21792183840004611,1.2685298315569176,1.6132157405924124,-0.30283911671924335,-0.4486302692187948,3.7865273198781466,0.0008553337714667687,0.7808565478029809,0.21485292985278487,-0.21021447361637935,0.1691165443693976,0,0,0
541,LU0248272758,"BGF INDIA ""A2""",1372,2016-01-06,2021-07-16,0.12675648924491623,0.2166463310569228,0.5055544088561608,0.5759387437007971,-0.4644584139265002,-1.490620245249728,21.567331061221115,0.00016279991361226333,1.0152845122091008,0.4447404625692036,0.3513046621367893,0.132214714781184,0,0,0
909,LU1408527916,"BGF EMERGING MARKETS  ""A"" (GBPHDG) D",1298,2016-05-12,2021-07-16,-0.022352704885085783,0.07849450482770583,-0.42179430020399405,-0.4361279245079528,-0.34304511278195704,-1.6260648099762058,22.322278745724347,-0.0002009251931173733,0.3182973883008106,0.21513537915219227,0.0322842618296274,0.03070702231251829,0,0,0
915,LU1408528211,"BGF EMERGING MARKETS  ""A"" (USD) D",1298,2016-05-12,2021-07-16,-0.04183370972665157,0.09480856680108546,-0.5614845764519213,-0.6976344555819115,-0.3731751824817511,-0.9656354907323509,6.803340912601014,-0.0002908580029888147,0.4318154050197897,0.327257142008197,0.09118210240679483,0.007561150512514534,0,0,0
922,LU1408528302,"BGF EMERGING MARKETS  ""A"" (GBPHDG) D A",1298,2016-05-12,2021-07-16,-0.05829244922384025,0.09496336412971879,-0.7429874452120023,-0.9097732879120656,-0.4063373718546114,-1.0532955614822803,7.154168675136221,-0.0003601203986298049,0.4335544668475343,0.33381434260173265,0.09472090077787469,0.01160009396832291,0,0,0
1625,LU1423762027,"BGF USD SHORT DURATIO ""D"" (EURHDG)",1285,2016-06-01,2021-07-16,0.0019756403295712044,0.020792483460730895,-0.4153325470635346,-0.30149891412407354,-0.06958250497017715,-3.15118940278747,98.20910708804843,-3.796781972369642e-05,0.051361315781616054,0.08769535189397942,0.030470052773154087,0.01077218959592842,0,0,0
1626,LU1423762613,"BGF USD SHORT DURATIO ""I"" (EURHDG)",1285,2016-06-01,2021-07-16,0.0031431505475729704,0.0208865902626924,-0.35770575055428305,-0.2678929758283122,-0.06653426017874897,-2.4242433080811807,89.17566191927878,-3.2624931176863256e-05,0.049105002112390314,0.08872678426902791,0.029543060449799805,0.011336671995265443,0,0,0
1905,LU1430597077,"BGF NATURAL RESOURCES ""A"" (USD) D",1280,2016-06-08,2021-07-16,0.06501319449164566,0.22279916447828754,0.2349385975235168,0.30327497646209933,-0.5389457120377654,-0.6422060263453673,10.379728439665461,-7.933025741689028e-05,1.2159249945875679,0.5021986109684233,0.28474822022253865,0.07488842897515716,0,0,0
3395,LU0784383803,"BGF GLOBAL MULTI-ASSE ""A"" (USD) D A",1269,2016-06-24,2021-07-16,0.009118445481585358,0.05773600268739124,-0.028855053842920936,-0.02546671115961436,-0.22684310018903509,-1.3220027712982276,18.42686333074814,-5.201195571918897e-05,0.2836680743061731,0.2139030930166366,0.05841384482393208,-0.010739097343159138,0,0,0
6214,LU1445717389,"BGF EURO CORPORATE BO ""A"" (USDHDG)",1250,2016-07-21,2021-07-16,0.04038720182733835,0.03158098750320656,0.9084422643208249,0.8914701203210043,-0.11714770797962604,-0.5667573555471861,40.70915222712675,0.00010701196524495067,0.11220117751582125,0.12477685562412649,0.02355786156426582,-0.0147997276154317,0,0,0
6215,LU1445717629,"BGF EURO CORPORATE BO ""A2"" (CHFHDG)",1250,2016-07-21,2021-07-16,0.014821599308194378,0.03188432133646478,0.11939104126122303,0.11933811935160189,-0.12371134020618813,-0.7626216451840759,44.30016902487128,8.363587023213582e-06,0.10838301597439583,0.11758932057719892,0.016478628553613397,-0.01621919103131513,0,0,0
